QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
"Suppose prices of two goods are constant, explain what will happen to the budget line if there is an increase in consumer's income. Support your answer with an appropriate diagram.	",Comprehension,"suppos price of two good are constant, explain what will happen to the budget line if there is an increas in consumer' income. support your answer with an appropri diagram.",Analyze,Evaluate,Analyze
"Explain the concept of price leadership observed under the condition of oligopoly, by using graphs. ",Comprehension,"explain the concept of price leadership observ under the condit of oligopoly, by use graphs.",Understand,Understand,Understand
Define profit. Briefly explain how accounting profit is different from economic profit.,Comprehension,defin profit. briefli explain how account profit is differ from econom profit.,Understand,Remember,Understand
Describe the assumptions of monopolistic competitive market.,Comprehension,describ the assumpt of monopolist competit market.,Understand,Remember,Understand
"Explain the meaning of the law of diminishing marginal returns. Briefly describe the relationship between total product (TP) and marginal product (MP), marginal product (MP) and average product (AP).",Comprehension,"explain the mean of the law of diminish margin returns. briefli describ the relationship between total product (tp) and margin product (mp), margin product (mp) and averag product (ap).",Understand,Understand,Understand
Evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. Give evidence from the graph to support your answer.,Evaluation,evalu whi a monopolist hold more undesir characterist in comparison to a perfect competitor. give evid from the graph to support your answer.,Understand,Understand,Understand
"Using Marginal approach, explain and identify how many unit of CD players should the firm producer per day if its goal is to maximize its profit.",Application,"use margin approach, explain and identifi how mani unit of cd player should the firm produc per day if it goal is to maxim it profit.",Apply,Evaluate,Understand
"As opposed other curves, justify with explanation why Average Fixed Costs
	(AFC) is negatively sloped.",Evaluation,"a oppos other curves, justifi with explan whi averag fix cost (afc) is neg sloped.",Understand,Understand,Understand
Identify whether the firm is in the short-run or long-run  equilibrium. Explain.,Comprehension,identifi whether the firm is in the short-run or long-run equilibrium. explain.,Understand,Evaluate,Understand
Illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.,Comprehension,illustr and explain how perfect competit firm adjust in long-run if they are enjoy posit econom profit in short-run.,Understand,Understand,Understand
Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,Application,assum that thi monopolist is regul to produc at that quantiti where price equal averag total cost. calcul and find out what is the quantiti the monopolist will produc and the price it will charg given thi regulatori scenario.,Analyze,Analyze,Analyze
Identify THREE (3) types of imperfectly competitive firms and construct THREE (3) important characteristics of these imperfectly competitive firms.,Application,identifi three (3) type of imperfectli competit firm and construct three (3) import characterist of these imperfectli competit firms.,Apply,Apply,Apply
Various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. Describe natural monopoly and provide ONE (1) example of natural monopoly.,Comprehension,variou polici were implement by the govern in order to mitig the concern over effici loss aris from natur monopoly. describ natur monopoli and provid one (1) exampl of natur monopoly.,Understand,Apply,Analyze
Describe Prisoner Dilemma in the context of game theory.,Knowledge,describ prison dilemma in the context of game theory.,Understand,Remember,Understand
Highlight the differences between an equilibrium in dominant strategy as compared to Nash equilibrium.,Comprehension,highlight the differ between an equilibrium in domin strategi a compar to nash equilibrium.,Analyze,Understand,Analyze
